"regime","sample_size","horizon","method_a","method_b","loss","replications","mean_dm_stat","mean_p_value","rejection_rate_5pct","share_favoring_method_a","share_favoring_method_b"
"nonlinear_threshold",200,1,"GR","XGB_STACK","absolute",2,0.543309552247068,0.595254124566293,0,0,1
"nonlinear_threshold",200,1,"GR","XGB_STACK","squared",2,0.695449776485929,0.489185591201796,0,0,1
"nonlinear_threshold",200,1,"SA","BG","absolute",2,-0.468813663446761,0.673333235205721,0,1,0
"nonlinear_threshold",200,1,"SA","BG","squared",2,-0.0475414018572053,0.956157439763524,0,0.5,0.5
"nonlinear_threshold",200,1,"SA","BMA_DMA","absolute",2,-0.708731402384958,0.48357588939175,0,1,0
"nonlinear_threshold",200,1,"SA","BMA_DMA","squared",2,-0.72656895099447,0.477813151442377,0,1,0
"nonlinear_threshold",200,1,"SA","GR","absolute",2,-1.91577629617462,0.0703231581728292,0.5,1,0
"nonlinear_threshold",200,1,"SA","GR","squared",2,-2.16038785725239,0.0330882334314139,1,1,0
"nonlinear_threshold",200,1,"SA","SL","absolute",2,-0.590761293305913,0.616917879585346,0,1,0
"nonlinear_threshold",200,1,"SA","SL","squared",2,-0.899111142704537,0.407321983769998,0,1,0
"nonlinear_threshold",200,1,"SA","XGB_STACK","absolute",2,-1.66862279765991,0.116918300179796,0.5,1,0
"nonlinear_threshold",200,1,"SA","XGB_STACK","squared",2,-1.78805484674615,0.108696110759668,0.5,1,0
"nonlinear_threshold",200,1,"SL","XGB_STACK","absolute",2,-1.37064758361947,0.194605077465301,0,1,0
"nonlinear_threshold",200,1,"SL","XGB_STACK","squared",2,-1.49426380071644,0.196974338086393,0.5,1,0
"nonlinear_threshold",200,3,"BG","BMA_DMA","absolute",2,0.759525117322733,0.540539853835387,0,0,1
"nonlinear_threshold",200,3,"BG","BMA_DMA","squared",2,0.611440686235166,0.369865897741571,0,0.5,0.5
"nonlinear_threshold",200,3,"BG","GR","absolute",2,-0.756316360440663,0.514817383582847,0,1,0
"nonlinear_threshold",200,3,"BG","GR","squared",2,-1.07351184304249,0.323319315029228,0,1,0
"nonlinear_threshold",200,3,"BG","SL","absolute",2,-0.549697050885327,0.458495526800926,0,0.5,0.5
"nonlinear_threshold",200,3,"BG","SL","squared",2,-0.0218106729667601,0.651091663502512,0,0.5,0.5
"nonlinear_threshold",200,3,"BG","XGB_STACK","absolute",2,0.426526739847942,0.670240361622406,0,0,1
"nonlinear_threshold",200,3,"BG","XGB_STACK","squared",2,-0.114459462053837,0.751841686077429,0,0.5,0.5
"nonlinear_threshold",200,3,"BMA_DMA","SL","absolute",2,-0.998150166543984,0.338609278937475,0,1,0
"nonlinear_threshold",200,3,"BMA_DMA","SL","squared",2,-0.722903279815981,0.475892353064353,0,0.5,0.5
"nonlinear_threshold",200,3,"BMA_DMA","XGB_STACK","absolute",2,0.110888246910164,0.837147119797721,0,0.5,0.5
"nonlinear_threshold",200,3,"BMA_DMA","XGB_STACK","squared",2,-0.274006271930772,0.487291795318563,0,0.5,0.5
"nonlinear_threshold",200,3,"GR","BMA_DMA","absolute",2,0.937671077311775,0.45570236680404,0,0,1
"nonlinear_threshold",200,3,"GR","BMA_DMA","squared",2,1.13463545038442,0.340036721011964,0,0,1
"nonlinear_threshold",200,3,"GR","SL","absolute",2,0.662713165204935,0.579280587336321,0,0.5,0.5
"nonlinear_threshold",200,3,"GR","SL","squared",2,1.05752082133128,0.337080231667858,0,0,1
"nonlinear_threshold",200,3,"GR","XGB_STACK","absolute",2,1.08229117733813,0.351220498839667,0,0,1
"nonlinear_threshold",200,3,"GR","XGB_STACK","squared",2,1.08474566480018,0.292001896237277,0,0,1
"nonlinear_threshold",200,3,"SA","BG","absolute",2,0.779661795360258,0.507867193653098,0,0,1
"nonlinear_threshold",200,3,"SA","BG","squared",2,1.0366465210083,0.485792399865808,0.5,0,1
"nonlinear_threshold",200,3,"SA","BMA_DMA","absolute",2,0.772552192693977,0.531931742121632,0,0,1
"nonlinear_threshold",200,3,"SA","BMA_DMA","squared",2,0.711468303669778,0.386305019709074,0,0.5,0.5
"nonlinear_threshold",200,3,"SA","GR","absolute",2,-0.66153315790834,0.553555290977517,0,1,0
"nonlinear_threshold",200,3,"SA","GR","squared",2,-0.986133543154953,0.350538879746757,0,1,0
"nonlinear_threshold",200,3,"SA","SL","absolute",2,0.000907523142073874,0.187162639395121,0,0.5,0.5
"nonlinear_threshold",200,3,"SA","SL","squared",2,0.681064118192024,0.365539710454225,0,0.5,0.5
"nonlinear_threshold",200,3,"SA","XGB_STACK","absolute",2,0.525372606046328,0.603062438872043,0,0,1
"nonlinear_threshold",200,3,"SA","XGB_STACK","squared",2,0.0555996654625883,0.877891566717941,0,0.5,0.5
"nonlinear_threshold",200,3,"SL","XGB_STACK","absolute",2,0.578471229944693,0.566906630667311,0,0,1
"nonlinear_threshold",200,3,"SL","XGB_STACK","squared",2,-0.0602863399621745,0.681118779772219,0,0.5,0.5
"structural_break",200,1,"BG","BMA_DMA","absolute",2,2.2086593477175,0.049398641305467,0.5,0,1
"structural_break",200,1,"BG","BMA_DMA","squared",2,2.06854877408821,0.0714142721254721,0.5,0,1
"structural_break",200,1,"BG","GR","absolute",2,0.75974474969411,0.450509450284918,0,0,1
"structural_break",200,1,"BG","GR","squared",2,0.675234017299837,0.50960180257106,0,0,1
"structural_break",200,1,"BG","SL","absolute",2,2.05386017168316,0.0407415297244569,1,0,1
"structural_break",200,1,"BG","SL","squared",2,2.15093730178984,0.0422508958486303,0.5,0,1
"structural_break",200,1,"BG","XGB_STACK","absolute",2,1.15387121421306,0.259672443066417,0,0,1
"structural_break",200,1,"BG","XGB_STACK","squared",2,1.1047633763834,0.319795631125364,0,0,1
"structural_break",200,1,"BMA_DMA","SL","absolute",2,0.376903539429499,0.70747821850883,0,0.5,0.5
"structural_break",200,1,"BMA_DMA","SL","squared",2,0.874257761886545,0.382180827959187,0,0,1
"structural_break",200,1,"BMA_DMA","XGB_STACK","absolute",2,0.237594200502419,0.812452347015033,0,0.5,0.5
"structural_break",200,1,"BMA_DMA","XGB_STACK","squared",2,0.297295727348087,0.766335133373038,0,0,1
"structural_break",200,1,"GR","BMA_DMA","absolute",2,0.235692805662166,0.480622733165524,0,0.5,0.5
"structural_break",200,1,"GR","BMA_DMA","squared",2,0.25471126645303,0.662376431666574,0,0.5,0.5
"structural_break",200,1,"GR","SL","absolute",2,0.29424120770638,0.559750798732078,0,0.5,0.5
"structural_break",200,1,"GR","SL","squared",2,0.49040134087164,0.638155973179803,0,0.5,0.5
"structural_break",200,1,"GR","XGB_STACK","absolute",2,0.464334409316257,0.664052502849788,0,0.5,0.5
"structural_break",200,1,"GR","XGB_STACK","squared",2,0.528197995951563,0.625586139596588,0,0,1
"structural_break",200,1,"SA","BG","absolute",2,2.30847186410944,0.0284176001260805,1,0,1
"structural_break",200,1,"SA","BG","squared",2,2.89691832610557,0.00394699748289284,1,0,1
"structural_break",200,1,"SA","BMA_DMA","absolute",2,2.35872387785263,0.0331457652355559,0.5,0,1
"structural_break",200,1,"SA","BMA_DMA","squared",2,2.39484938400132,0.0271791752002284,1,0,1
"structural_break",200,1,"SA","GR","absolute",2,0.961345707980902,0.336845849698753,0,0,1
"structural_break",200,1,"SA","GR","squared",2,0.928684031925781,0.375793101959127,0,0,1
"structural_break",200,1,"SA","SL","absolute",2,2.17380993781898,0.0317614683017823,1,0,1
"structural_break",200,1,"SA","SL","squared",2,2.37885263282204,0.0226724650121137,1,0,1
"structural_break",200,1,"SA","XGB_STACK","absolute",2,1.34578633010399,0.191601471522735,0,0,1
"structural_break",200,1,"SA","XGB_STACK","squared",2,1.33739513654058,0.235590072181873,0,0,1
"structural_break",200,1,"SL","XGB_STACK","absolute",2,0.141686718392465,0.88836985472016,0,0,1
"structural_break",200,1,"SL","XGB_STACK","squared",2,-0.00501768404935381,0.884116615907243,0,0.5,0.5
"structural_break",200,3,"BG","BMA_DMA","absolute",2,1.26180119557738,0.26754915573306,0,0,1
"structural_break",200,3,"BG","BMA_DMA","squared",2,0.785218462252895,0.266137543553189,0.5,0.5,0.5
"structural_break",200,3,"BG","GR","absolute",2,-0.484297627256639,0.635185688469824,0,1,0
"structural_break",200,3,"BG","GR","squared",2,-0.167826548452394,0.459257766444498,0,0.5,0.5
"structural_break",200,3,"BG","SL","absolute",2,-0.123837453507591,0.165808618041351,0,0.5,0.5
"structural_break",200,3,"BG","SL","squared",2,0.711135782643633,0.443971995826436,0,0.5,0.5
"structural_break",200,3,"BG","XGB_STACK","absolute",2,-0.845732633200607,0.450266477641621,0,1,0
"structural_break",200,3,"BG","XGB_STACK","squared",2,-0.93286099593868,0.497370095657584,0,1,0
"structural_break",200,3,"BMA_DMA","SL","absolute",2,-0.708546967969122,0.565696995474043,0,1,0
"structural_break",200,3,"BMA_DMA","SL","squared",2,0.124818298845012,0.900684643133716,0,0,1
"structural_break",200,3,"BMA_DMA","XGB_STACK","absolute",2,-1.27910859221887,0.338012256063867,0.5,1,0
"structural_break",200,3,"BMA_DMA","XGB_STACK","squared",2,-1.27540627645089,0.495384975628315,0.5,1,0
"structural_break",200,3,"GR","BMA_DMA","absolute",2,0.815528489205212,0.456119863701458,0,0,1
"structural_break",200,3,"GR","BMA_DMA","squared",2,0.404938652682496,0.328079860475611,0,0.5,0.5
"structural_break",200,3,"GR","SL","absolute",2,0.598115700454368,0.576773913750467,0,0.5,0.5
"structural_break",200,3,"GR","SL","squared",2,0.417742432920519,0.330998012016489,0,0.5,0.5
"structural_break",200,3,"GR","XGB_STACK","absolute",2,-0.273568919787533,0.78775447504412,0,1,0
"structural_break",200,3,"GR","XGB_STACK","squared",2,-0.471512754307399,0.650697555937957,0,1,0
"structural_break",200,3,"SA","BG","absolute",2,1.88658128249854,0.0596991924826101,0,0,1
"structural_break",200,3,"SA","BG","squared",2,1.70916111877134,0.133695046755126,0.5,0,1
"structural_break",200,3,"SA","BMA_DMA","absolute",2,1.5210965334344,0.155475897105845,0,0,1
"structural_break",200,3,"SA","BMA_DMA","squared",2,1.04162840662114,0.420626180348286,0.5,0.5,0.5
"structural_break",200,3,"SA","GR","absolute",2,-0.315875829829786,0.754536732069092,0,1,0
"structural_break",200,3,"SA","GR","squared",2,-0.00405485157291313,0.528463230525232,0,0.5,0.5
"structural_break",200,3,"SA","SL","absolute",2,0.156538981545144,0.198605673680473,0,0.5,0.5
"structural_break",200,3,"SA","SL","squared",2,0.92729716068,0.521944007208504,0,0.5,0.5
"structural_break",200,3,"SA","XGB_STACK","absolute",2,-0.624702805023778,0.559367690148516,0,1,0
"structural_break",200,3,"SA","XGB_STACK","squared",2,-0.678320579433812,0.573683428333077,0,1,0
"structural_break",200,3,"SL","XGB_STACK","absolute",2,-1.06226175971268,0.507853062710389,0.5,1,0
"structural_break",200,3,"SL","XGB_STACK","squared",2,-1.26097802077382,0.483956041846925,0.5,1,0
