"regime","sample_size","horizon","replication","initial_train_size","evaluation_origins","method","rmse","mae","mase","relative_rmse","computation_time_seconds","xgb_stack_engine"
"heteroskedastic",200,3,1,100,98,"GR",1.29238632600237,1.01926660449534,1.11907942263668,1.05204937055841,0,""
"heteroskedastic",200,3,1,100,98,"BMA_DMA",1.26285830284036,1.00111974800389,1.09915551499999,1.02801248812131,0,""
"heteroskedastic",200,3,1,100,98,"SL",1.23482238080019,0.965487572173077,1.06003401864156,1.00519023014631,1.16,""
"heteroskedastic",200,3,1,100,98,"XGB_STACK",1.23835789700068,1.00694231599604,1.10554826445159,1.00806826863874,0.980000000000004,"xgboost"
"heteroskedastic",200,1,2,100,100,"SA",1.40196145518741,1.15321175473135,1.30278639302505,1,0,""
"heteroskedastic",200,1,2,100,100,"BG",1.40464752728603,1.15584462898184,1.30576075808334,1.00191593862205,0,""
"heteroskedastic",200,1,2,100,100,"GR",1.51617331769152,1.25016008164512,1.41230917634009,1.08146576504048,0,""
"heteroskedastic",200,1,2,100,100,"BMA_DMA",1.39327661051839,1.14622713863601,1.29489585360574,0.993805218654989,0,""
"heteroskedastic",200,1,2,100,100,"SL",1.41107870498515,1.15793069378989,1.30811739105707,1.00650321003049,1.61999999999995,""
"heteroskedastic",200,1,2,100,100,"XGB_STACK",1.5218168853673,1.28205327074454,1.448338997072,1.08549124495286,0.870000000000047,"xgboost"
"heteroskedastic",200,3,2,100,98,"SA",1.69526685316835,1.39820392810752,1.57955470427631,1,0,""
"heteroskedastic",200,3,2,100,98,"BG",1.69271501810019,1.3979964335657,1.57932029713938,0.998494729568157,0,""
"heteroskedastic",200,3,2,100,98,"GR",1.70146775010615,1.38858976939337,1.56869356355191,1.00365777041308,0,""
"heteroskedastic",200,3,2,100,98,"BMA_DMA",1.69139200170849,1.40086894019864,1.58256537553882,0.99771431178955,0,""
"heteroskedastic",200,3,2,100,98,"SL",1.67579798780646,1.37481430084073,1.55313138001164,0.988515751767633,1,""
"heteroskedastic",200,3,2,100,98,"XGB_STACK",1.65702416387906,1.35999648403175,1.53639165286797,0.977441492932035,0.819999999999979,"xgboost"
